,0,ecl,pid,eyr,byr,iyr,hgt,hcl,cm,in,hair,eyes,pass
0,hgt:185cm ecl:gry cid:222 iyr:2016 hcl:#866857 byr:1970 pid:269105457 eyr:2026,gry,269105457,2026,1970,2016,185cm,#866857,185,0,#866857,gry,269105457
1,hgt:178cm byr:1939 pid:595705064 ecl:oth iyr:2020 eyr:2026 hcl:#888785,oth,595705064,2026,1939,2020,178cm,#888785,178,0,#888785,oth,595705064
2,hgt:159cm iyr:2016 hcl:#efcc98 pid:139063139 byr:1980 ecl:brn eyr:2020,brn,139063139,2020,1980,2016,159cm,#efcc98,159,0,#efcc98,brn,139063139
3,pid:646870519 hgt:179cm eyr:2022 iyr:2011 hcl:#602927 ecl:brn byr:1997,brn,646870519,2022,1997,2011,179cm,#602927,179,0,#602927,brn,646870519
4,hgt:170cm hcl:#ceb3a1 iyr:2014 eyr:2023 ecl:oth pid:243067344 byr:1962,oth,243067344,2023,1962,2014,170cm,#ceb3a1,170,0,#ceb3a1,oth,243067344
5,hcl:#866857 ecl:oth pid:704529614 byr:1941 cid:94 eyr:2026 hgt:180cm iyr:2010,oth,704529614,2026,1941,2010,180cm,#866857,180,0,#866857,oth,704529614
6,pid:770262094 hcl:#866857 eyr:2020 hgt:151cm ecl:blu iyr:2012 byr:2002 cid:242,blu,770262094,2020,2002,2012,151cm,#866857,151,0,#866857,blu,770262094
7,hgt:178cm iyr:2020 hcl:#6b5442 ecl:grn cid:323 eyr:2030 byr:1925 pid:285882039,grn,285882039,2030,1925,2020,178cm,#6b5442,178,0,#6b5442,grn,285882039
8,iyr:2019 pid:986123633 eyr:2024 byr:1990 hcl:#7d3b0c ecl:hzl hgt:192cm,hzl,986123633,2024,1990,2019,192cm,#7d3b0c,192,0,#7d3b0c,hzl,986123633
9,hgt:163cm byr:1934 eyr:2026 ecl:amb hcl:#eec6fb cid:303 pid:721792159 iyr:2013,amb,721792159,2026,1934,2013,163cm,#eec6fb,163,0,#eec6fb,amb,721792159
10,iyr:2019 byr:1920 hcl:#a97842 cid:186 eyr:2020 ecl:oth hgt:167cm pid:217112082,oth,217112082,2020,1920,2019,167cm,#a97842,167,0,#a97842,oth,217112082
11,ecl:amb eyr:2024 pid:644304174 hcl:#6b5442 iyr:2018 byr:1935 hgt:182cm,amb,644304174,2024,1935,2018,182cm,#6b5442,182,0,#6b5442,amb,644304174
12,ecl:hzl pid:559383552 hcl:#ceb3a1 eyr:2024 hgt:161cm byr:1968 iyr:2010,hzl,559383552,2024,1968,2010,161cm,#ceb3a1,161,0,#ceb3a1,hzl,559383552
14,pid:479898570 hgt:165cm eyr:2024 byr:1932 iyr:2010 ecl:grn cid:88 hcl:#c0a76e,grn,479898570,2024,1932,2010,165cm,#c0a76e,165,0,#c0a76e,grn,479898570
